x,y
-2.69,0
-0.497,1
-2.5,0
-4.26,0
-3.3,0
6.38,1
-2.59,0
6.74,1
3.81,1
-0.616,0
1.91,1
6.15,1
-2.17,0
0.215,1
-5.62,0
3,1
4.47,1
-5.74,0
-2.71,0
-6.27,0
3.31,1
6.3,1
-6.09,0
-1.83,0
-6.32,0
6.92,1
4.19,1
2.95,1
-1.9,0
6.88,1
4.87,1
-0.184,1
-5.27,0
2.97,1
2.75,1
1.14,0
5.96,1
-6.11,0
-0.197,1
5.17,1
-0.928,1
0.982,1
-6.47,0
3.68,1
-3.6,0
-6.27,0
3.42,1
5.72,1
-5.79,0
-0.795,1
-2.72,0
-4.1,0
3.32,1
2.9,1
2.52,1
-2.09,0
1.06,1
5,1
4.85,1
-0.996,0
-4.96,0
-0.863,0
-6.23,0
1.27,0
4.53,1
-0.421,1
-0.941,1
5.61,1
-2.6,0
-5.64,0
-1.35,1
-2.5,0
5.27,1
-6.98,0
3.78,1
1.46,1
0.0674,1
-5.82,0
5.27,1
-3.59,0
0.445,1
1.15,1
-0.361,1
-1.66,0
-5.22,0
-6.19,0
-2.66,0
6.28,1
6.9,1
4.42,1
6.5,1
-4,0
-3,0
3.25,1
-2.94,0
-5.56,0
-2.91,0
3.72,1
1.25,1
-3.74,0
4.74,1
-1.19,0
0.14,0
1.47,1
-2.44,0
1.45,1
5.46,1
0.692,1
-3.75,0
1.11,1
1.8,1
-5.87,0
0.899,1
4.4,1
3.54,1
-4.15,0
3.94,1
4.3,1
3.17,1
-3.26,0
4.69,1
5.1,1
4.01,1
3.6,1
-6.64,0
-2.62,1
-0.373,0
-0.868,0
-5.04,0
5.22,1
-2.71,1
2.71,1
6,1
0.986,1
5.87,1
-6.09,0
3.72,1
1.4,1
0.983,1
-5.91,0
-0.0505,1
6.73,1
-5.69,0
3.79,1
-0.937,1
-2.9,0
1.45,0
6.76,1
-6.01,0
-5.86,0
-5.87,0
0.0925,1
4.89,1
5.96,1
-3.72,0
3.32,1
6.52,1
-0.0763,0
-6.79,0
-0.814,0
-5.18,0
-0.844,1
-0.9,0
-2.82,0
-0.147,1
-3.29,0
-2.73,0
3.79,1
5.92,1
-4.01,0
6.83,1
2.06,1
3.37,1
0.187,1
4.2,1
-0.0561,1
5.04,1
-0.727,0
-4.76,0
2.13,1
6.02,1
-0.0741,1
6.34,1
0.794,1
0.602,1
6.78,1
2.24,1
-1.71,0
-4.34,0
3.01,1
4.72,1
-4.86,0
-5.81,0
-4.02,0
4.84,1
-6.15,0
1.66,1
2.77,1
-4.92,0
2.51,1
3.91,1
2.85,1
5.16,1
-0.0341,1
0.968,1
-3.68,0
-1.68,0
-3.5,0
