x,y
-2.29,-1.604
-0.381,10.43
4.01,9.198
1.42,1.1
4.52,-0.732
3.25,1.653
2.29,-2.355
3.11,7.399
-0.557,8.422
4.69,12
-3.32,-3.07
-2.51,-2.992
0.455,0.5005
-1.86,7.224
-2.8,2.847
0.919,1.368
-1.49,6.751
1.17,4.463
1.29,9.228
-0.33,7.494
2.7,-4.989
-3.16,8.824
-3.85,-5.206
1.04,15.16
-1.41,5.011
-1.15,5.091
4.08,-1.57
2.07,-1.048
4.61,14.89
1.95,-4.051
2.72,0.4226
4.16,-4.563
3.33,2.578
1.39,3.896
-4.37,-6.615
-4.69,2.021
1.01,4.992
1.55,11.4
-4.41,-5.577
3.15,4.038
-3.98,-5.069
-3.36,0.3222
-0.186,7.138
-2.7,3.678
-4.53,2.407
0.275,5.031
-4.01,2.543
-2.69,5.325
-4.57,3.403
-0.125,4.134
1.25,5.11
-4.66,-0.444
4.11,11.64
-4.35,0.2474
1.02,0.6044
-4.68,4.089
4.85,11.08
-3.51,5.324
1.63,4.088
-1.79,7.364
0.198,5.681
0.93,8.443
1.33,5.889
-2.08,6.169
-2.65,-1.416
1.42,7.993
3.79,11.16
-3.09,-2.427
0.563,7.301
0.841,11.38
-2.14,5.335
0.176,2.226
-4.59,-6.222
3.36,-3.183
-2.33,-6.519
1.97,3.214
2.99,1.712
-0.906,0.6835
-1.77,4.392
-2.29,-1.531
0.0112,4.817
1.72,3.677
1.75,5.497
-3.45,1.783
-1.24,1.044
4.87,9.094
0.147,-3.313
3.36,0.5473
4.29,12.54
3.97,-3.257
-1.64,2.041
-0.533,5.035
4.26,13.04
2.09,6.312
4,5.906
4.29,5.406
-4.53,-4.198
1.26,4.081
-0.672,5.945
-0.505,4.824
-2.56,0.6234
0.782,-0.7114
-1.31,7.14
-0.0683,7.06
-1.63,6.627
4.93,2.134
-4.88,-7.614
1.4,-0.1169
-3.88,-4.472
2.28,3.79
4.95,-3.747
-4.71,-7.322
-3.99,0.4094
-2.13,1.352
0.724,2.647
0.13,-1.23
-3.13,-2.635
-3.38,1.566
-3.76,-1.064
-4.38,-5.346
0.826,-2.07
3.7,11.05
-0.286,1.661
-2.74,-1.169
-4.36,0.9663
3.19,1.098
0.497,-0.1049
-1.96,13.92
-4.8,4.277
4.63,-2.23
-0.706,5.904
-4.19,-2.114
-0.915,2.511
4.77,6.419
-3.79,-5.778
2.8,9.523
4.07,6.523
-2.96,-7.035
-4.62,-7.635
-3.97,-4.337
-2.11,0.9693
-4.56,2.792
-4.29,2.59
1.4,-1.061
-4.78,1.314
2.78,3.196
-1.23,4.44
3.05,0.08365
-3.96,4.932
-4.21,-0.4647
-3.74,-4.43
0.615,9.574
4.35,9.215
-2.77,2.745
0.322,10.69
-0.97,3.806
2.73,7.006
-0.365,6.007
0.172,5.036
-2.65,-2.038
4.23,4.403
0.791,4.639
-3.46,-0.8142
-4.66,-1.255
-2.8,4.211
1.49e-4,1.198
3.95,-1.326
-0.348,10.11
2.53,1.679
-1.87,0.4976
3.18,7.371
0.202,2.981
-0.386,0.7788
0.598,4.261
0.123,3.568
0.288,3.824
-4.42,0.28
1.65,4.405
-1.58,5.88
-1.24,0.03552
3.06,11.61
-3.96,-2.628
3.71,15.09
-1.41,1.835
0.885,-2.374
-3.12,4.765
1.82,8.605
-1.37,5.377
-1.78,2.512
-0.677,4.67
-1.59,0.1673
2.76,2.324
-0.916,-8.383
-3.8,-0.3748
0.758,1.131
-0.507,13.16
4.44,8.996
4.12,5.528
0.534,-2.051
3.92,4.84
1.52,0.7944
-3.83,-3.561
-0.851,6.733
4.52,14.25
-0.924,0.9028
-0.584,3.129
-0.902,5.496
3.96,11.49
-0.763,4.405
-2.56,5.729
-0.634,-5.945
2.28,9.645
0.387,2.838
-3.66,6.217
-4.02,-8.554
4.98,13
-3.86,-1.244
-3.93,2.837
-1.92,0.5774
-1.63,6.355
-0.456,2.865
3.86,2.861
0.592,-3.239
-4.68,-6.904
-3.53,7.48
3.9,-2.633
-1.7,16.53
1.89,8.735
-3.88,1.137
-0.812,-2.046
-1.38,7.091
-3.37,1.371
-2,7.54
4.96,10.8
0.0343,9.934
-3.77,4.549
4.78,3.494
4.26,-1.74
2.19,10.34
3.83,9.209
-4.39,6.79
-2.37,0.6737
3.33,5.78
-0.306,1.829
1.98,0.6709
-0.836,3.192
2.55,3.615
-3.51,1.024
-4.45,4.077
-3.26,2.517
-0.377,-7.72
3.35,9.601
3.45,15.47
2.53,-2.617
-0.345,3.897
2.53,2.054
-3.44,-4.942
0.109,0.9935
